Date,Time,Open,High,Low,Close,Tick volume
2025.01.03,08:15:00,1.02663,1.02682,1.02659,1.02675,239
2025.01.03,08:30:00,1.02676,1.02691,1.02673,1.02691,214
2025.01.03,08:45:00,1.02692,1.02734,1.0269,1.02729,308
2025.01.03,09:00:00,1.02728,1.02728,1.02689,1.02693,450
2025.01.03,09:15:00,1.02695,1.02717,1.02671,1.02683,302
2025.01.03,09:30:00,1.02684,1.02701,1.02673,1.0268,315
2025.01.03,09:45:00,1.0268,1.02691,1.02665,1.02674,333
2025.01.03,10:00:00,1.02674,1.02717,1.02668,1.02696,435
2025.01.03,10:15:00,1.02695,1.02713,1.02676,1.02713,355
2025.01.03,10:30:00,1.02716,1.02723,1.02703,1.02717,225
2025.01.03,10:45:00,1.02717,1.02745,1.02712,1.02722,328
2025.01.03,11:00:00,1.02723,1.02727,1.02715,1.02719,207
2025.01.03,11:15:00,1.02718,1.02743,1.02705,1.02735,347
2025.01.03,11:30:00,1.02738,1.02739,1.02706,1.02716,199
2025.01.03,11:45:00,1.02716,1.02716,1.02687,1.02707,296
2025.01.03,12:00:00,1.02706,1.02709,1.02675,1.02693,198
2025.01.03,12:15:00,1.02694,1.02697,1.0267,1.02688,229
2025.01.03,12:30:00,1.02689,1.02697,1.02675,1.02676,175
2025.01.03,12:45:00,1.02678,1.02697,1.02673,1.02695,267
2025.01.03,13:00:00,1.02696,1.02697,1.02661,1.02662,318
2025.01.03,13:15:00,1.02662,1.02719,1.02646,1.02716,239
2025.01.03,13:30:00,1.02718,1.02736,1.02712,1.02721,239
2025.01.03,13:45:00,1.02718,1.02724,1.02697,1.02717,328
2025.01.03,14:00:00,1.02717,1.02746,1.02715,1.02742,266
2025.01.03,14:15:00,1.02743,1.02746,1.02734,1.02737,214
2025.01.03,14:30:00,1.02732,1.02744,1.02722,1.0274,241
2025.01.03,14:45:00,1.02741,1.02793,1.02736,1.0279,371
2025.01.03,15:00:00,1.0279,1.02826,1.0276,1.02802,837
2025.01.03,15:15:00,1.02802,1.02816,1.02687,1.02782,2145
2025.01.03,15:30:00,1.02781,1.02847,1.02779,1.02828,952
2025.01.03,15:45:00,1.02829,1.02839,1.02806,1.02807,837
2025.01.03,16:00:00,1.02806,1.0288,1.02781,1.02844,1353
2025.01.03,16:15:00,1.02844,1.02879,1.02808,1.02809,1166
2025.01.03,16:30:00,1.02808,1.02809,1.02729,1.02775,1260
2025.01.03,16:45:00,1.02774,1.02859,1.02767,1.02803,1081
2025.01.03,17:00:00,1.02803,1.02946,1.02802,1.02933,1507
2025.01.03,17:15:00,1.02934,1.02991,1.02918,1.02962,1155
2025.01.03,17:30:00,1.02962,1.02999,1.02896,1.02896,908
2025.01.03,17:45:00,1.02896,1.02913,1.02875,1.02901,985
2025.01.03,18:00:00,1.02901,1.02938,1.02837,1.02853,887
2025.01.03,18:15:00,1.02853,1.0286,1.028,1.02837,872
2025.01.03,18:30:00,1.02837,1.02859,1.0282,1.02837,827
2025.01.03,18:45:00,1.02836,1.02848,1.02791,1.02813,661
2025.01.03,19:00:00,1.02813,1.02893,1.02813,1.02892,1206
2025.01.03,19:15:00,1.02891,1.0299,1.02884,1.0298,608
2025.01.03,19:30:00,1.0298,1.02999,1.02919,1.02997,747
2025.01.03,19:45:00,1.02997,1.03028,1.02972,1.02972,612
2025.01.03,20:00:00,1.02971,1.03009,1.02946,1.02967,946
2025.01.03,20:15:00,1.02966,1.0297,1.02942,1.02961,778
2025.01.03,20:30:00,1.0296,1.03007,1.02957,1.02976,756
2025.01.03,20:45:00,1.02977,1.03007,1.02952,1.02956,936
2025.01.03,21:00:00,1.02958,1.03001,1.02953,1.02976,835
2025.01.03,21:15:00,1.02979,1.02981,1.02916,1.02938,978
2025.01.03,21:30:00,1.02939,1.03,1.02932,1.02994,966
2025.01.03,21:45:00,1.02995,1.02998,1.02915,1.02931,1248
2025.01.03,22:00:00,1.02931,1.02931,1.0288,1.02898,1132
2025.01.03,22:15:00,1.029,1.02947,1.02898,1.0291,1110
